humanLabel,uniLabel,orgLabel,orglocationLabel,orgcountryLabel
Elis Strömgren,Lund University,University of Kiel,Kiel,Germany
Elis Strömgren,Lund University,University of Copenhagen,Kiel,Germany
Elis Strömgren,Lund University,Lund University,Kiel,Germany
Bengt I. Samuelsson,Lund University,Karolinska Institute,Stockholm,Sweden
Lars Hörmander,Lund University,Lund University,Stockholm,Sweden
Lars Hörmander,Lund University,Stockholm University,Stockholm,Sweden
Ivar Wickman,Lund University,Karolinska Institute,Stockholm,Sweden
Johan Wilhelm Dalman,Lund University,Karolinska Institute,Stockholm,Sweden
Anders Retzius,Lund University,Karolinska Institute,Stockholm,Sweden
Anders Lindstedt,Lund University,University of Tartu,Stockholm,Sweden
Anders Lindstedt,Lund University,Lund University,Stockholm,Sweden
Anders Lindstedt,Lund University,Royal Institute of Technology,Stockholm,Sweden
Gustaf Retzius,Lund University,Lund University,Stockholm,Sweden
Gustaf Retzius,Lund University,Karolinska Institute,Stockholm,Sweden
Elias Magnus Fries,Lund University,Uppsala University,Lund,Sweden
Elias Magnus Fries,Lund University,Lund University,Lund,Sweden
Jonas Hafström,Lund University,Lund University,Lund,Sweden
Manne Siegbahn,Lund University,Uppsala University,Lund,Sweden
Manne Siegbahn,Lund University,Lund University,Lund,Sweden
Sven Nilsson,Lund University,Lund University,Lund,Sweden
Frans Gustaf Emanuel Walberg,Lund University,Lund University,Lund,Sweden
Örjan Wikander,Lund University,Lund University,Lund,Sweden
Arvid Carlsson,Lund University,Lund University,Lund,Sweden
Arvid Carlsson,Lund University,University of Gothenburg,Lund,Sweden
Östen Undén,Lund University,Uppsala University,Lund,Sweden
Östen Undén,Lund University,Lund University,Lund,Sweden
Johannes Rydberg,Lund University,Lund University,Lund,Sweden
K. G. Hammar,Lund University,Lund University,Lund,Sweden
Martin P. Nilsson,Lund University,Lund University,Lund,Sweden
Gottfrid Billing,Lund University,Lund University,Lund,Sweden
Lars Hörmander,Lund University,Lund University,Lund,Sweden
Lars Hörmander,Lund University,Stockholm University,Lund,Sweden
Torsten Hägerstrand,Lund University,Lund University,Lund,Sweden
Carl Adolph Agardh,Lund University,Lund University,Lund,Sweden
Carl Adolph Agardh,Lund University,The Academic Society,Lund,Sweden
Esaias Tegnér,Lund University,Lund University,Lund,Sweden
Carl Jakob Sundevall,Lund University,Lund University,Lund,Sweden
Anders Nygren,Lund University,Lund University,Lund,Sweden
Göran Therborn,Lund University,Uppsala University,Lund,Sweden
Göran Therborn,Lund University,Lund University,Lund,Sweden
Göran Therborn,Lund University,University of Gothenburg,Lund,Sweden
Göran Therborn,Lund University,Radboud University Nijmegen,Lund,Sweden
Carl Wilhelm Oseen,Lund University,Uppsala University,Lund,Sweden
Carl Wilhelm Oseen,Lund University,Lund University,Lund,Sweden
Christian Wilhelm Blomstrand,Lund University,Lund University,Lund,Sweden
Anders Jahan Retzius,Lund University,Lund University,Lund,Sweden
Anders Lindstedt,Lund University,University of Tartu,Lund,Sweden
Anders Lindstedt,Lund University,Lund University,Lund,Sweden
Anders Lindstedt,Lund University,Royal Institute of Technology,Lund,Sweden
Anders Wiman,Lund University,Uppsala University,Lund,Sweden
Anders Wiman,Lund University,Lund University,Lund,Sweden
Arvid Lindau,Lund University,Lund University,Lund,Sweden
Sven Ludvig Lovén,Lund University,Lund University,Lund,Sweden
Wilhelm Agrell,Lund University,Lund University,Lund,Sweden
Gustaf Retzius,Lund University,Lund University,Lund,Sweden
Gustaf Retzius,Lund University,Karolinska Institute,Lund,Sweden
Carl Linnaeus,Lund University,Uppsala University,Uppsala,Sweden
Elias Magnus Fries,Lund University,Uppsala University,Uppsala,Sweden
Elias Magnus Fries,Lund University,Lund University,Uppsala,Sweden
Manne Siegbahn,Lund University,Uppsala University,Uppsala,Sweden
Manne Siegbahn,Lund University,Lund University,Uppsala,Sweden
Östen Undén,Lund University,Uppsala University,Uppsala,Sweden
Östen Undén,Lund University,Lund University,Uppsala,Sweden
Göran Therborn,Lund University,Uppsala University,Uppsala,Sweden
Göran Therborn,Lund University,Lund University,Uppsala,Sweden
Göran Therborn,Lund University,University of Gothenburg,Uppsala,Sweden
Göran Therborn,Lund University,Radboud University Nijmegen,Uppsala,Sweden
Carl Wilhelm Oseen,Lund University,Uppsala University,Uppsala,Sweden
Carl Wilhelm Oseen,Lund University,Lund University,Uppsala,Sweden
Anders Wiman,Lund University,Uppsala University,Uppsala,Sweden
Anders Wiman,Lund University,Lund University,Uppsala,Sweden
Herman Bernhard Lundborg,Lund University,Uppsala University,Uppsala,Sweden
Arvid Carlsson,Lund University,Lund University,Gothenburg,Sweden
Arvid Carlsson,Lund University,University of Gothenburg,Gothenburg,Sweden
Göran Therborn,Lund University,Uppsala University,Gothenburg,Sweden
Göran Therborn,Lund University,Lund University,Gothenburg,Sweden
Göran Therborn,Lund University,University of Gothenburg,Gothenburg,Sweden
