human,humanLabel,uniLabel,plcLabel
http://www.wikidata.org/entity/Q111182,Hinrich Bitter-Suermann,University of Gothenburg,Berlin
http://www.wikidata.org/entity/Q196860,Zeth Höglund,University of Gothenburg,Q10727568
http://www.wikidata.org/entity/Q231320,Camilla Läckberg,University of Gothenburg,Fjällbacka
http://www.wikidata.org/entity/Q234872,Cecilia Malmström,University of Gothenburg,Stockholm
http://www.wikidata.org/entity/Q264036,Lotta Lotass,University of Gothenburg,Gagnef Municipality
http://www.wikidata.org/entity/Q269859,Åsa Westlund,University of Gothenburg,Gislaved
http://www.wikidata.org/entity/Q315107,José González,University of Gothenburg,Gothenburg
http://www.wikidata.org/entity/Q444747,Maria Wetterstrand,University of Gothenburg,Eskilstuna
http://www.wikidata.org/entity/Q446732,Otto J. Maenchen-Helfen,University of Gothenburg,Vienna
http://www.wikidata.org/entity/Q460475,Nick Bostrom,University of Gothenburg,Helsingborg
http://www.wikidata.org/entity/Q512616,Marie Hermanson,University of Gothenburg,Gothenburg
http://www.wikidata.org/entity/Q522657,Christina Olofson,University of Gothenburg,Kristinehamn
http://www.wikidata.org/entity/Q553180,Harald Treutiger,University of Gothenburg,Härlanda
http://www.wikidata.org/entity/Q558050,Ann-Sofie Johansson,University of Gothenburg,Ronneby
http://www.wikidata.org/entity/Q820962,Erling Eidem,University of Gothenburg,Gothenburg
http://www.wikidata.org/entity/Q887439,Bo Ralph,University of Gothenburg,Gothenburg
http://www.wikidata.org/entity/Q919874,Carl Henrik Fredriksson,University of Gothenburg,Jönköping
http://www.wikidata.org/entity/Q923556,Jonas Jonasson,University of Gothenburg,Växjö
http://www.wikidata.org/entity/Q925430,Niklas Eklund,University of Gothenburg,Gothenburg
http://www.wikidata.org/entity/Q949175,Sture Allén,University of Gothenburg,Gothenburg
http://www.wikidata.org/entity/Q950117,Magnus Carlsson,University of Gothenburg,Fristad
http://www.wikidata.org/entity/Q964028,Håkan Hellström,University of Gothenburg,Gothenburg
http://www.wikidata.org/entity/Q1463595,Hans Davidsson,University of Gothenburg,Gothenburg
http://www.wikidata.org/entity/Q1662831,Inge Thulin,University of Gothenburg,Malmö
http://www.wikidata.org/entity/Q1662985,Ingemar Düring,University of Gothenburg,Gothenburg
http://www.wikidata.org/entity/Q1696311,Lennart Heimer,University of Gothenburg,Östersund
http://www.wikidata.org/entity/Q1747619,Emma Wertsén,University of Gothenburg,Sweden
http://www.wikidata.org/entity/Q1919467,Melker Schörling,University of Gothenburg,Q10512990
http://www.wikidata.org/entity/Q2342583,Sten Grillner,University of Gothenburg,Stockholm
http://www.wikidata.org/entity/Q2541235,Chimène van Oosterhout,University of Gothenburg,Willemstad
