universityLabel,year,locLabel
Uppsala University,1477,Uppsala
University of Gothenburg,1954,Gothenburg
Lund University,1666,Lund
Karolinska Institute,1810,Stockholm
Stockholm University,1878,Stockholm
Swedish University of Agricultural Sciences,1977,Uppsala
Linköping University,1975,Linköping
Chalmers University of Technology,1829,Gothenburg
Royal Institute of Technology,1827,Stockholm
Malmö University,1998,Malmö
Umeå University,1965,Umeå
Linnaeus University,2010,Växjö
Linnaeus University,2010,Kalmar
Karlstad University,1977,Karlstad
Mid Sweden University,1993,Sundsvall
Mid Sweden University,1993,Östersund
Luleå University of Technology,1971,Luleå
Luleå University of Technology,1971,Porsön
Örebro University,1977,Örebro
