universityLabel,univlocationLabel,countryNameLabel,personLabel,pbornLabel,borncountryLabel,organizationLabel,orglocationLabel,orgcountryLabel,yearFounded
Royal Institute of Technology,Stockholm,Sweden,Peter Celsing,Stockholm,Sweden,Royal Institute of Technology,Stockholm,Sweden,1827
Lund University,Lund,Sweden,Arvid Carlsson,Uppsala,Sweden,University of Gothenburg,Gothenburg,Sweden,1666
Uppsala University,Uppsala,Sweden,Östen Undén,Karlstad,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Torsten Hägerstrand,Alvesta Municipality,Sweden,Lund University,Lund,Sweden,1666
Lund University,Lund,Sweden,Östen Undén,Karlstad,Sweden,Uppsala University,Uppsala,Sweden,1666
Stockholm University,Stockholm,Sweden,Per Enflo,Stockholm,Sweden,Royal Institute of Technology,Stockholm,Sweden,1878
Lund University,Lund,Sweden,Bengt I. Samuelsson,Halmstad,Sweden,Karolinska Institute,Stockholm,Sweden,1666
Royal Institute of Technology,Stockholm,Sweden,Rolf Maximilian Sievert,Stockholm,Sweden,Karolinska Institute,Stockholm,Sweden,1827
Uppsala University,Uppsala,Sweden,Sigfridus Aronus Forsius,Finland,Finland,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Bertil Lindblad,Örebro,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Einar Billing,Lunds Cathedral Assembly,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Hugo Alfvén,Stockholm,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Olaus Rudbeck,Q10718088,Sweden,Uppsala University,Uppsala,Sweden,1477
Stockholm University,Stockholm,Sweden,Helge von Koch,Stockholm,Sweden,Royal Institute of Technology,Stockholm,Sweden,1878
Lund University,Lund,Sweden,Martin P. Nilsson,Q10680407,Sweden,Lund University,Lund,Sweden,1666
Uppsala University,Uppsala,Sweden,Karl Gustav Jöreskog,Åmål,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Gottfrid Billing,Önnestad parish,Sweden,Lund University,Lund,Sweden,1666
Uppsala University,Uppsala,Sweden,Helge von Koch,Stockholm,Sweden,Stockholm University,Stockholm,Sweden,1477
Karolinska Institute,Stockholm,Sweden,Bengt I. Samuelsson,Halmstad,Sweden,Karolinska Institute,Stockholm,Sweden,1810
Uppsala University,Uppsala,Sweden,Carl August Hagberg,Lund,Sweden,Lund University,Lund,Sweden,1477
Stockholm University,Stockholm,Sweden,Bengt I. Samuelsson,Halmstad,Sweden,Karolinska Institute,Stockholm,Sweden,1878
Uppsala University,Uppsala,Sweden,Bertil Lindblad,Örebro,Sweden,Uppsala Astronomical Observatory,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Johnny Roosval,Kalmar domkyrkoförsamling,Sweden,Stockholm University,Stockholm,Sweden,1477
Lund University,Lund,Sweden,Johannes Rydberg,Halmstad,Sweden,Lund University,Lund,Sweden,1666
Uppsala University,Uppsala,Sweden,Carl August Hagberg,Lund,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Rolf Maximilian Sievert,Stockholm,Sweden,Karolinska Institute,Stockholm,Sweden,1477
Karolinska Institute,Stockholm,Sweden,Örjan Ouchterlony,Stockholm,Sweden,University of Gothenburg,Gothenburg,Sweden,1810
Uppsala University,Uppsala,Sweden,Lennart Carleson,Stockholm,Sweden,Royal Institute of Technology,Stockholm,Sweden,1477
Stockholm University,Stockholm,Sweden,Sune Bergström,Kungsholms parish,Sweden,Lund University,Lund,Sweden,1878
Lund University,Lund,Sweden,Ivar Wickman,Lunds Cathedral Assembly,Sweden,Karolinska Institute,Stockholm,Sweden,1666
Uppsala University,Uppsala,Sweden,Peter Englund,Boden,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Lars Hörmander,Mjällby,Sweden,Lund University,Lund,Sweden,1666
Uppsala University,Uppsala,Sweden,Östen Bergstrand,Stockholm,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Oskar Backlund,Länghem,Sweden,Uppsala University,Uppsala,Sweden,1477
Stockholm University,Stockholm,Sweden,Christer Fuglesang,Nacka,Sweden,Royal Institute of Technology,Stockholm,Sweden,1878
Royal Institute of Technology,Stockholm,Sweden,Gunnar Asplund,Stockholm,Sweden,Royal Institute of Technology,Stockholm,Sweden,1827
Stockholm University,Stockholm,Sweden,Torsten Persson,Stockholm,Sweden,Stockholm University,Stockholm,Sweden,1878
Stockholm University,Stockholm,Sweden,Sune Bergström,Kungsholms parish,Sweden,Karolinska Institute,Stockholm,Sweden,1878
Uppsala University,Uppsala,Sweden,Håkan Lans,Enskede-Årsta-Vantör city district,Sweden,Stockholm University,Stockholm,Sweden,1477
Uppsala University,Uppsala,Sweden,Lennart Carleson,Stockholm,Sweden,Massachusetts Institute of Technology,Cambridge,United States of America,1477
Karolinska Institute,Stockholm,Sweden,Göran Liljestrand,Masthuggs församling,Sweden,Karolinska Institute,Stockholm,Sweden,1810
Uppsala University,Uppsala,Sweden,Adolf Törneros,Q10489097,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Erik Edlund,Edsbergs parish,Sweden,Royal Institute of Technology,Stockholm,Sweden,1477
Uppsala University,Uppsala,Sweden,Gösta Mittag-Leffler,Klara Parish,Sweden,Stockholm University,Stockholm,Sweden,1477
Lund University,Lund,Sweden,Örjan Wikander,Helsingborg,Sweden,Lund University,Lund,Sweden,1666
Royal Institute of Technology,Stockholm,Sweden,Christer Fuglesang,Nacka,Sweden,Royal Institute of Technology,Stockholm,Sweden,1827
Stockholm University,Stockholm,Sweden,Göran Liljestrand,Masthuggs församling,Sweden,Karolinska Institute,Stockholm,Sweden,1878
Uppsala University,Uppsala,Sweden,Fredrik Ferdinand Carlson,Alsike parish,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Frans Gustaf Emanuel Walberg,Lund,Sweden,Lund University,Lund,Sweden,1666
Stockholm University,Stockholm,Sweden,Helge von Koch,Stockholm,Sweden,Stockholm University,Stockholm,Sweden,1878
Uppsala University,Uppsala,Sweden,Lennart Carleson,Stockholm,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Ingemar Hedenius,Stockholm,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,K. G. Hammar,Hässleholm,Sweden,Lund University,Lund,Sweden,1666
Lund University,Lund,Sweden,Carl Adolph Agardh,Båstads parish,Sweden,Lund University,Lund,Sweden,1666
Lund University,Lund,Sweden,Arvid Carlsson,Uppsala,Sweden,Lund University,Lund,Sweden,1666
Karolinska Institute,Stockholm,Sweden,Rolf Maximilian Sievert,Stockholm,Sweden,Karolinska Institute,Stockholm,Sweden,1810
Lund University,Lund,Sweden,Lars Hörmander,Mjällby,Sweden,Stockholm University,Stockholm,Sweden,1666
Uppsala University,Uppsala,Sweden,Helge von Koch,Stockholm,Sweden,Royal Institute of Technology,Stockholm,Sweden,1477
Karolinska Institute,Stockholm,Sweden,Ivar Wickman,Lunds Cathedral Assembly,Sweden,Karolinska Institute,Stockholm,Sweden,1810
Uppsala University,Uppsala,Sweden,Östen Undén,Karlstad,Sweden,Lund University,Lund,Sweden,1477
Lund University,Lund,Sweden,Östen Undén,Karlstad,Sweden,Lund University,Lund,Sweden,1666
Stockholm University,Stockholm,Sweden,Aris Fioretos,Gothenburg,Sweden,Södertörn University,Flemingsberg,Sweden,1878
Uppsala University,Uppsala,Sweden,Olof Swartz,Q10602807,Sweden,Karolinska Institute,Stockholm,Sweden,1477
Lund University,Lund,Sweden,Sven Ludvig Lovén,Maria Magdalena parish,Sweden,Lund University,Lund,Sweden,1666
Lund University,Lund,Sweden,Arvid Lindau,Malmö Sankt Petri församling,Sweden,Lund University,Lund,Sweden,1666
Stockholm University,Stockholm,Sweden,Yvonne Hirdman,Stockholm,Sweden,University of Gothenburg,Gothenburg,Sweden,1878
Stockholm University,Stockholm,Sweden,Bert Bolin,Nyköping,Sweden,Stockholm University,Stockholm,Sweden,1878
Karolinska Institute,Stockholm,Sweden,Pehr Victor Edman,Stockholm,Sweden,Lund University,Lund,Sweden,1810
Uppsala University,Uppsala,Sweden,Gerard De Geer,Stockholm,Sweden,Geological Survey of Sweden,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Birger Bohlin,Lidköping,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Wilhelm Agrell,Uppsala,Sweden,Lund University,Lund,Sweden,1666
Uppsala University,Uppsala,Sweden,Karl Oskar Medin,Axberg parish,Sweden,Karolinska Institute,Stockholm,Sweden,1477
Uppsala University,Uppsala,Sweden,Bengt Westerlund,Gävle,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Carl Piper,Storkyrkoförsamlingen,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Torsten Carleman,Visseltofta,Sweden,Lund University,Lund,Sweden,1477
Lund University,Lund,Sweden,Anders Wiman,Hammarlöv,Sweden,Lund University,Lund,Sweden,1666
Lund University,Lund,Sweden,Anders Lindstedt,Sundborns,Sweden,Royal Institute of Technology,Stockholm,Sweden,1666
Stockholm University,Stockholm,Sweden,Yvonne Hirdman,Stockholm,Sweden,Södertörn University,Flemingsberg,Sweden,1878
Uppsala University,Uppsala,Sweden,Torsten Carleman,Visseltofta,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Anders Wiman,Hammarlöv,Sweden,Uppsala University,Uppsala,Sweden,1666
Stockholm University,Stockholm,Sweden,Yvonne Hirdman,Stockholm,Sweden,Stockholm University,Stockholm,Sweden,1878
Stockholm University,Stockholm,Sweden,Lars E. O. Svensson,Örnsköldsvik,Sweden,Stockholm University,Stockholm,Sweden,1878
Uppsala University,Uppsala,Sweden,Lars Stigzelius,Q10680065,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Oscar Levertin,Q10509671,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Gustaf Retzius,Kungsholms parish,Sweden,Lund University,Lund,Sweden,1477
Lund University,Lund,Sweden,Gustaf Retzius,Kungsholms parish,Sweden,Lund University,Lund,Sweden,1666
Uppsala University,Uppsala,Sweden,Carl Gyllenborg,Storkyrkoförsamlingen,Sweden,Uppsala University,Uppsala,Sweden,1477
Stockholm University,Stockholm,Sweden,Aris Fioretos,Gothenburg,Sweden,Humboldt University of Berlin,Dorotheenstadt,German Reich,1878
Uppsala University,Uppsala,Sweden,Per-Olov Löwdin,Uppsala,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Anders Lindstedt,Sundborns,Sweden,Lund University,Lund,Sweden,1666
Stockholm University,Stockholm,Sweden,Aris Fioretos,Gothenburg,Sweden,Södertörn University,Huddinge,Sweden,1878
Royal Institute of Technology,Stockholm,Sweden,Lars E. O. Svensson,Örnsköldsvik,Sweden,Stockholm University,Stockholm,Sweden,1827
Uppsala University,Uppsala,Sweden,Veit Wittrock,Holms,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Gustaf Retzius,Kungsholms parish,Sweden,Karolinska Institute,Stockholm,Sweden,1477
Lund University,Lund,Sweden,Gustaf Retzius,Kungsholms parish,Sweden,Karolinska Institute,Stockholm,Sweden,1666
Uppsala University,Uppsala,Sweden,Torsten Carleman,Visseltofta,Sweden,Stockholm University,Stockholm,Sweden,1477
Stockholm University,Stockholm,Sweden,Rubén Berríos,Aibonito,United States of America,Stockholm University,Stockholm,Sweden,1878
Uppsala University,Uppsala,Sweden,Lena Sommestad,Börje,Sweden,Uppsala University,Uppsala,Sweden,1477
Karolinska Institute,Stockholm,Sweden,Karl Oskar Medin,Axberg parish,Sweden,Karolinska Institute,Stockholm,Sweden,1810
Chalmers University of Technology,Gothenburg,Sweden,Gert Wingårdh,Skövde,Sweden,Chalmers University of Technology,Gothenburg,Sweden,1829
Lund University,Lund,Sweden,Herman Bernhard Lundborg,Väse parish,Sweden,Uppsala University,Uppsala,Sweden,1666
Stockholm University,Stockholm,Sweden,Wilhelm Agrell,Uppsala,Sweden,Lund University,Lund,Sweden,1878
Uppsala University,Uppsala,Sweden,Oscar Levertin,Q10509671,Sweden,Stockholm University,Stockholm,Sweden,1477
Uppsala University,Uppsala,Sweden,Magnus Huss,"Torps församling, Härnösand diocese",Sweden,Karolinska Institute,Stockholm,Sweden,1477
Uppsala University,Uppsala,Sweden,Lennart von Post,Q10718075,Sweden,Stockholm University,Stockholm,Sweden,1477
Uppsala University,Uppsala,Sweden,Johannes Steuchius,Härnösands domkyrkoförsamling,Sweden,Lund University,Lund,Sweden,1477
Uppsala University,Uppsala,Sweden,Bert Bolin,Nyköping,Sweden,Stockholm University,Stockholm,Sweden,1477
Stockholm University,Stockholm,Sweden,Yvonne Hirdman,Stockholm,Sweden,Södertörn University,Huddinge,Sweden,1878
Karolinska Institute,Stockholm,Sweden,Gustaf Retzius,Kungsholms parish,Sweden,Lund University,Lund,Sweden,1810
Uppsala University,Uppsala,Sweden,Gerard De Geer,Stockholm,Sweden,Stockholm University,Stockholm,Sweden,1477
Uppsala University,Uppsala,Sweden,Johannes Steuchius,Härnösands domkyrkoförsamling,Sweden,Uppsala University,Uppsala,Sweden,1477
Chalmers University of Technology,Gothenburg,Sweden,Bernhard Schmidt,Naissaar,Estonia,Hamburg-Bergedorf Observatory,Bergedorf,Germany,1829
Uppsala University,Uppsala,Sweden,Göran Wahlenberg,Q10549545,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Hans Rosling,Uppsala,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Johan Afzelius,Larv parish,Sweden,Uppsala University,Uppsala,Sweden,1477
Karolinska Institute,Stockholm,Sweden,Gustaf Retzius,Kungsholms parish,Sweden,Karolinska Institute,Stockholm,Sweden,1810
Uppsala University,Uppsala,Sweden,Helge Backlund,Tartu,Estonia,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Hans Rosling,Uppsala,Sweden,Karolinska Institute,Stockholm,Sweden,1477
Karolinska Institute,Stockholm,Sweden,Sven Ivar Seldinger,Mora,Sweden,University of Gothenburg,Gothenburg,Sweden,1810
Karolinska Institute,Stockholm,Sweden,Herman Bernhard Lundborg,Väse parish,Sweden,Uppsala University,Uppsala,Sweden,1810
Uppsala University,Uppsala,Sweden,Johan Wilcke,Wismar,Germany,Stockholm University,Stockholm,Sweden,1477
Lund University,Lund,Sweden,Elis Strömgren,Helsingborg,Sweden,Lund University,Lund,Sweden,1666
Stockholm University,Stockholm,Sweden,Hans Riesel,Stockholm,Sweden,Royal Institute of Technology,Stockholm,Sweden,1878
Karolinska Institute,Stockholm,Sweden,Carl Gustaf Mosander,Kalmar,Sweden,Karolinska Institute,Stockholm,Sweden,1810
Uppsala University,Uppsala,Sweden,Sigurd Agrell,Q10658435,Sweden,Lund University,Lund,Sweden,1477
Lund University,Lund,Sweden,Göran Therborn,Kalmar,Sweden,Uppsala University,Uppsala,Sweden,1666
Lund University,Lund,Sweden,Göran Therborn,Kalmar,Sweden,University of Gothenburg,Gothenburg,Sweden,1666
Stockholm University,Stockholm,Sweden,Stefan Persson,Stockholm,Sweden,Stockholm School of Economics,Vasastaden,Sweden,1878
Royal Institute of Technology,Stockholm,Sweden,Kurt Atterberg,Domkyrkoförsamlingen in Göteborg,Sweden,Royal Swedish Academy of Music,Blasieholmen,Sweden,1827
Lund University,Lund,Sweden,Anders Nygren,Haga parish,Sweden,Lund University,Lund,Sweden,1666
Lund University,Lund,Sweden,Elis Strömgren,Helsingborg,Sweden,University of Kiel,Kiel,Germany,1666
Uppsala University,Uppsala,Sweden,Pehr Kalm,Själevad parish,Sweden,Uppsala University,Uppsala,Sweden,1477
Stockholm University,Stockholm,Sweden,Erik Ivar Fredholm,Klara Parish,Sweden,Stockholm University,Stockholm,Sweden,1878
Stockholm University,Stockholm,Sweden,Ulf Hannerz,Malmö,Sweden,Stockholm University,Stockholm,Sweden,1878
Uppsala University,Uppsala,Sweden,Henric Benzelius,Q10682103,Sweden,Lund University,Lund,Sweden,1477
Stockholm University,Stockholm,Sweden,Hialmar Rendahl,Jönköping,Sweden,Swedish Museum of Natural History,Norra Djurgården,Sweden,1878
Uppsala University,Uppsala,Sweden,Johan Emanuel Wikström,Vänersborg,Sweden,Uppsala University,Uppsala,Sweden,1477
